Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47u,CP_Radial_D6.3mm_P2.50mm,242.182379,-87.0,0.0,top
C2,0.1u,CP_Radial_D6.3mm_P2.50mm,242.182379,-94.5,0.0,top
D2,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,182.925,-64.65,-90.0,top
D4,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,210.0,-55.0,180.0,top
D6,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,240.0,-64.5,90.0,top
J6,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,211.0,-92.5,90.0,bottom
JP1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,192.85,-76.0,0.0,top
JP2,Jumper_2_Open,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,192.85,-87.0,0.0,top
JP3,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,192.85,-78.5,0.0,top
JP4,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,192.85,-81.5,0.0,top
JP5,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,192.85,-84.5,0.0,top
JP6,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,210.95,-74.0,0.0,top
JP7,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,210.95,-77.0,0.0,top
JP8,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,210.8,-80.0,0.0,top
JP9,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,210.65,-83.0,0.0,top
JP10,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,210.8,-86.0,0.0,top
JP11,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,240.5,-69.9,0.0,top
JP12,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,240.5,-72.5,0.0,top
JP13,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,240.5,-75.0,0.0,top
JP14,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,240.5,-77.5,0.0,top
JP15,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,240.475,-80.0,0.0,top
JP16,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,179.5,-84.9,0.0,top
JP17,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,179.65,-92.9,0.0,top
JP18,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,179.5,-89.0,0.0,top
JP19,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,179.5,-96.9,0.0,top
JP20,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,199.85,-75.95,0.0,top
JP21,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,199.85,-79.5,0.0,top
JP22,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,200.0,-83.45,0.0,top
JP23,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,200.0,-87.0,0.0,top
JP24,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,228.5,-69.9,0.0,top
JP25,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,228.5,-73.45,0.0,top
JP26,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,228.5,-77.0,0.0,top
